year,0
1992,"{'Plastic': 119, 'Metal': 10, 'Rubber': 5, 'Glass': 3, 'Plant-Based Materials': 19, 'Clothing & Fabrics': 7, 'Miscellaneous': 5}"
1993,"{'Plastic': 107, 'Metal': 19, 'Rubber': 2, 'Glass': 2, 'Plant-Based Materials': 23, 'Clothing & Fabrics': 8, 'Miscellaneous': 5}"
1994,"{'Plastic': 164, 'Metal': 10, 'Rubber': 9, 'Glass': 1, 'Plant-Based Materials': 28, 'Clothing & Fabrics': 6, 'Miscellaneous': 5}"
1995,"{'Plastic': 84, 'Metal': 9, 'Rubber': 4, 'Glass': 1, 'Plant-Based Materials': 28, 'Clothing & Fabrics': 5, 'Miscellaneous': 3}"
1996,"{'Plastic': 91, 'Metal': 8, 'Rubber': 6, 'Glass': 2, 'Plant-Based Materials': 10, 'Clothing & Fabrics': 3, 'Miscellaneous': 4}"
1997,"{'Plastic': 78, 'Metal': 8, 'Rubber': 5, 'Glass': 0, 'Plant-Based Materials': 4, 'Clothing & Fabrics': 3, 'Miscellaneous': 5}"
1998,"{'Plastic': 47, 'Metal': 6, 'Rubber': 3, 'Glass': 0, 'Plant-Based Materials': 9, 'Clothing & Fabrics': 4, 'Miscellaneous': 4}"
1999,"{'Plastic': 66, 'Metal': 5, 'Rubber': 6, 'Glass': 2, 'Plant-Based Materials': 16, 'Clothing & Fabrics': 3, 'Miscellaneous': 3}"
2000,"{'Plastic': 72, 'Metal': 16, 'Rubber': 8, 'Glass': 2, 'Plant-Based Materials': 7, 'Clothing & Fabrics': 3, 'Miscellaneous': 20}"
2001,"{'Plastic': 43, 'Metal': 16, 'Rubber': 1, 'Glass': 0, 'Plant-Based Materials': 10, 'Clothing & Fabrics': 3, 'Miscellaneous': 20}"
2002,"{'Plastic': 137, 'Metal': 16, 'Rubber': 4, 'Glass': 3, 'Plant-Based Materials': 2, 'Clothing & Fabrics': 3, 'Miscellaneous': 6}"
2003,"{'Plastic': 375, 'Metal': 34, 'Rubber': 9, 'Glass': 1, 'Plant-Based Materials': 6, 'Clothing & Fabrics': 8, 'Miscellaneous': 10}"
2004,"{'Plastic': 386, 'Metal': 68, 'Rubber': 13, 'Glass': 6, 'Plant-Based Materials': 45, 'Clothing & Fabrics': 11, 'Miscellaneous': 30}"
2005,"{'Plastic': 206, 'Metal': 13, 'Rubber': 5, 'Glass': 4, 'Plant-Based Materials': 21, 'Clothing & Fabrics': 10, 'Miscellaneous': 8}"
2006,"{'Plastic': 242, 'Metal': 8, 'Rubber': 7, 'Glass': 1, 'Plant-Based Materials': 23, 'Clothing & Fabrics': 3, 'Miscellaneous': 7}"
2007,"{'Plastic': 101, 'Metal': 7, 'Rubber': 13, 'Glass': 4, 'Plant-Based Materials': 1, 'Clothing & Fabrics': 2, 'Miscellaneous': 0}"
2008,"{'Plastic': 333, 'Metal': 16, 'Rubber': 16, 'Glass': 7, 'Plant-Based Materials': 28, 'Clothing & Fabrics': 20, 'Miscellaneous': 3}"
2009,"{'Plastic': 124, 'Metal': 8, 'Rubber': 10, 'Glass': 3, 'Plant-Based Materials': 3, 'Clothing & Fabrics': 8, 'Miscellaneous': 3}"
2010,"{'Plastic': 1117, 'Metal': 53, 'Rubber': 99, 'Glass': 18, 'Plant-Based Materials': 65, 'Clothing & Fabrics': 79, 'Miscellaneous': 28}"
2011,"{'Plastic': 1285, 'Metal': 49, 'Rubber': 89, 'Glass': 9, 'Plant-Based Materials': 93, 'Clothing & Fabrics': 60, 'Miscellaneous': 12}"
2012,"{'Plastic': 707, 'Metal': 32, 'Rubber': 47, 'Glass': 11, 'Plant-Based Materials': 82, 'Clothing & Fabrics': 32, 'Miscellaneous': 11}"
2013,"{'Plastic': 817, 'Metal': 33, 'Rubber': 69, 'Glass': 7, 'Plant-Based Materials': 97, 'Clothing & Fabrics': 54, 'Miscellaneous': 10}"
2014,"{'Plastic': 903, 'Metal': 43, 'Rubber': 76, 'Glass': 6, 'Plant-Based Materials': 67, 'Clothing & Fabrics': 91, 'Miscellaneous': 28}"
2015,"{'Plastic': 384, 'Metal': 15, 'Rubber': 57, 'Glass': 6, 'Plant-Based Materials': 23, 'Clothing & Fabrics': 31, 'Miscellaneous': 9}"
