year,survey,cruise,area,station,Latitude,Longitude,date,bottle,sheet,bag,caps,fishline.mono,fishline.tang,synthrope,fishnet,cabletie,strap,crates,nappies,santowels,other.plas,cansfood,cansdrink,fishmetal,drums,appliance,carparts,cables,other.metal,wellies,balloon,bobbins,tyre,gloves,other.rub,jars,bottles,pieces,other.glass,woodnat,woodproc,rope,paper,pallets,other.wood,clothing,shoes,other.misc,totallitter,distance,wingspread
1992,IBTS,CIRO 9/92,Greater North Sea,1,51.73833333,1.753333333,1992-08-14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3794,0
1992,IBTS,CIRO 9/92,Greater North Sea,2,51.60166667,2.796666667,1992-08-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3918,0
1992,IBTS,CIRO 9/92,Greater North Sea,3,51.82333333,3.643333333,1992-08-15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3624,0
1992,IBTS,CIRO 9/92,Greater North Sea,4,52.82333333,2.76,1992-08-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3642,0
1992,IBTS,CIRO 9/92,Greater North Sea,5,52.685,3.411666667,1992-08-16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3791,0
1992,IBTS,CIRO 9/92,Greater North Sea,6,52.58333333,4.21,1992-08-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4178,0
1992,IBTS,CIRO 9/92,Greater North Sea,7,53.94166667,0.805,1992-08-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3606,0
1992,IBTS,CIRO 9/92,Greater North Sea,8,53.96666667,1.281666667,1992-08-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3934,0
1992,IBTS,CIRO 9/92,Greater North Sea,9,53.84833333,2.623333333,1992-08-18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3682,0
1992,IBTS,CIRO 9/92,Greater North Sea,10,53.785,3.523333333,1992-08-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3642,0
1992,IBTS,CIRO 9/92,Greater North Sea,11,53.78666667,4.518333333,1992-08-17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3832,0
1992,IBTS,CIRO 9/92,Greater North Sea,12,53.745,5.265,1992-08-17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3595,0
1992,IBTS,CIRO 9/92,Greater North Sea,13,54.91666667,-0.301666667,1992-08-19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3855,0
1992,IBTS,CIRO 9/92,Greater North Sea,14,54.84833333,0.211666667,1992-08-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3717,0
1992,IBTS,CIRO 9/92,Greater North Sea,15,54.78666667,1.285,1992-08-19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3696,0
1992,IBTS,CIRO 9/92,Greater North Sea,16,54.51333333,2.693333333,1992-08-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3965,0
1992,IBTS,CIRO 9/92,Greater North Sea,17,54.63833333,3.336666667,1992-08-20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,4086,0
1992,IBTS,CIRO 9/92,Greater North Sea,18,54.75666667,4.811666667,1992-08-20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3813,0
1992,IBTS,CIRO 9/92,Greater North Sea,19,54.64333333,5.62,1992-08-20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3677,0
1992,IBTS,CIRO 9/92,Greater North Sea,20,54.57166667,6.368333333,1992-08-21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3864,0
1992,IBTS,CIRO 9/92,Greater North Sea,21,54.94666667,7.188333333,1992-08-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3638,0
1992,IBTS,CIRO 9/92,Greater North Sea,22,55.615,-0.803333333,1992-08-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3920,0
1992,IBTS,CIRO 9/92,Greater North Sea,23,55.90833333,0.07,1992-08-27,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5315,0
1992,IBTS,CIRO 9/92,Greater North Sea,24,55.84,1.173333333,1992-08-27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3780,0
1992,IBTS,CIRO 9/92,Greater North Sea,25,55.80666667,2.461666667,1992-08-24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3947,0
1992,IBTS,CIRO 9/92,Greater North Sea,26,55.58833333,3.726666667,1992-08-24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3500,0
1992,IBTS,CIRO 9/92,Greater North Sea,27,55.50833333,4.6,1992-08-23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3610,0
1992,IBTS,CIRO 9/92,Greater North Sea,28,55.815,5.246666667,1992-08-23,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3824,0
1992,IBTS,CIRO 9/92,Greater North Sea,29,55.66666667,6.816666667,1992-08-22,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,3563,0
1992,IBTS,CIRO 9/92,Greater North Sea,30,55.57833333,7.203333333,1992-08-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3583,0
1992,IBTS,CIRO 9/92,Greater North Sea,31,56.55,-1.358333333,1992-08-28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3726,0
1992,IBTS,CIRO 9/92,Greater North Sea,32,56.52833333,-0.431666667,1992-08-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3697,0
1992,IBTS,CIRO 9/92,Greater North Sea,33,56.84166667,0.436666667,1992-08-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3990,0
1992,IBTS,CIRO 9/92,Greater North Sea,34,56.72,1.428333333,1992-08-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3674,0
1992,IBTS,CIRO 9/92,Greater North Sea,35,56.65833333,2.373333333,1992-08-24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3695,0
