year,Plastic,Metal,Rubber,Glass,Wood & Paper,Clothing & Fabrics,Miscellaneous
1992,119,10,5,3,19,7,5
1993,107,19,2,2,23,8,5
1994,164,10,9,1,28,6,5
1995,84,9,4,1,28,5,3
1996,91,8,6,2,10,3,4
1997,78,8,5,0,4,3,5
1998,47,6,3,0,9,4,4
1999,66,5,6,2,16,3,3
2000,72,16,8,2,7,3,20
2001,43,16,1,0,10,3,20
2002,137,16,4,3,2,3,6
2003,375,34,9,1,6,8,10
2004,386,68,13,6,45,11,30
2005,206,13,5,4,21,10,8
2006,242,8,7,1,23,3,7
2007,101,7,13,4,1,2,0
2008,333,16,16,7,28,20,3
2009,124,8,10,3,3,8,3
2010,1117,53,99,18,65,79,28
2011,1285,49,89,9,93,60,12
2012,707,32,47,11,82,32,11
2013,817,33,69,7,97,54,10
2014,903,43,76,6,67,91,28
2015,384,15,57,6,23,31,9
