year,month,day,Plastic,Metal,Rubber,Glass,Wood & Paper,Clothing & Fabrics,Miscellaneous
1992,8,14,1,0,0,0,0,0,0
1992,8,15,3,1,0,0,1,0,1
1992,8,16,3,0,0,0,0,0,0
1992,8,17,4,0,0,0,0,0,0
1992,8,18,3,0,0,0,0,1,0
1992,8,19,2,0,0,0,1,0,0
1992,8,20,4,1,0,0,2,0,0
1992,8,21,4,0,0,0,1,0,0
1992,8,22,5,0,0,0,1,1,0
1992,8,23,6,0,1,0,1,1,0
1992,8,24,5,0,0,0,0,1,0
1992,8,25,5,1,0,0,1,0,0
1992,8,26,3,1,0,0,0,0,0
1992,8,27,4,0,0,1,0,0,1
1992,8,28,1,0,0,0,0,0,0
1992,8,29,5,1,0,0,0,0,1
1992,8,30,0,0,0,0,0,0,0
1992,8,31,0,0,0,0,0,0,0
1992,9,1,1,0,0,0,0,0,0
1992,9,2,0,0,0,0,0,0,0
1992,9,3,0,0,0,0,0,0,0
1992,9,4,1,0,0,1,0,0,1
1992,9,5,2,0,1,0,0,0,0
1992,9,6,0,0,0,0,1,1,0
1992,9,7,2,0,0,0,0,0,1
1992,9,8,0,0,0,0,0,0,0
1992,9,9,1,0,0,0,0,0,0
1992,9,10,0,0,0,0,0,0,0
1992,10,21,2,2,0,0,0,0,0
1992,10,22,3,0,0,0,1,0,0
1992,10,23,2,0,0,0,0,0,0
1992,10,24,2,1,0,0,0,0,0
1992,10,26,5,0,0,1,1,0,0
1992,10,27,4,0,0,0,0,0,0
1992,10,28,3,0,0,0,0,0,0
1992,10,29,4,0,1,0,0,0,0
1992,10,30,1,0,0,0,0,0,0
1992,10,31,0,0,0,0,1,0,0
1992,11,1,1,0,1,0,0,0,0
1992,11,2,0,0,0,0,0,0,0
1992,11,3,1,0,1,0,0,0,0
1992,11,4,2,1,0,0,2,0,0
1992,11,5,0,0,0,0,0,0,0
1992,11,7,1,0,0,0,0,0,0
1992,11,8,3,0,0,0,2,0,0
1992,11,9,0,0,0,0,1,0,0
1992,11,10,1,0,0,0,0,0,0
1992,11,11,1,0,0,0,0,0,0
1992,11,12,1,0,0,0,0,0,0
1992,11,14,3,0,0,0,0,0,0
1992,11,15,1,0,0,0,0,0,0
1992,11,16,4,0,0,0,0,0,0
1992,11,17,2,0,0,0,2,1,0
1992,11,18,5,1,0,0,0,1,0
1992,11,20,2,0,0,0,0,0,0
1993,8,9,1,1,0,0,0,0,0
1993,8,10,4,0,0,0,0,0,0
1993,8,11,1,0,0,0,0,0,0
1993,8,12,4,1,0,0,0,0,0
1993,8,13,0,0,0,0,0,1,0
1993,8,14,2,0,0,0,1,0,0
1993,8,15,5,0,0,0,2,0,0
1993,8,16,4,1,0,1,2,0,1
1993,8,17,3,0,0,0,1,1,0
1993,8,18,4,2,0,0,3,0,0
1993,8,19,1,0,0,0,0,0,0
1993,8,20,0,0,0,0,0,0,0
1993,8,21,1,0,0,0,1,0,0
1993,8,22,0,0,0,0,0,0,0
1993,8,23,1,0,0,0,0,0,0
1993,8,25,0,0,0,0,0,0,0
1993,8,26,0,2,0,0,1,2,0
1993,8,28,1,0,0,0,0,0,0
1993,8,29,2,0,0,0,0,0,0
1993,8,30,0,0,0,0,0,0,0
1993,8,31,1,0,0,0,0,0,0
1993,9,1,0,0,0,1,0,0,0
1993,9,2,0,0,0,0,0,0,0
1993,9,3,0,1,0,0,0,0,0
1993,9,4,4,1,0,0,0,0,0
1993,10,19,2,0,0,0,1,0,0
1993,10,20,3,0,0,0,1,0,0
1993,10,21,5,0,0,0,0,0,0
1993,10,22,3,0,0,0,0,1,0
1993,10,23,6,0,0,0,0,0,0
1993,10,24,7,1,0,0,2,0,0
1993,10,25,6,1,0,0,0,0,1
1993,10,26,4,0,1,0,0,1,1
1993,10,27,3,1,0,0,1,0,0
1993,10,28,7,0,0,0,1,0,1
1993,10,29,3,0,0,0,1,1,0
1993,10,30,2,0,0,0,0,0,0
1993,10,31,1,1,0,0,0,0,0
1993,11,1,0,1,0,0,0,0,0
1993,11,2,4,2,1,0,2,0,1
1993,11,4,1,0,0,0,0,0,0
1993,11,5,0,0,0,0,0,0,0
1993,11,6,0,0,0,0,0,1,0
1993,11,7,2,0,0,0,0,0,0
1993,11,8,0,1,0,0,0,0,0
1993,11,9,1,0,0,0,0,0,0
1993,11,10,4,0,0,0,1,0,0
1993,11,11,1,1,0,0,2,0,0
1993,11,12,0,1,0,0,0,0,0
